Designator,Mid X,Mid Y,Rotation,Layer
C1,121.0,-86.7,0.0,top
C10,118.1,-75.1,90.0,top
C11,117.1,-73.1,90.0,top
C12,114.9,-73.1,90.0,top
C13,116.0,-73.1,90.0,top
C14,120.1,-74.9,0.0,top
C15,119.1,-71.9,180.0,top
C16,125.9,-76.3,180.0,top
C17,125.9,-81.8,0.0,top
C18,120.8,-117.5,90.0,top
C19,168.5,-114.4,180.0,top
C2,173.1,-84.8,0.0,top
C20,173.5,-110.6,180.0,top
C21,173.1,-98.2,0.0,top
C22,142.6,-77.6,180.0,bottom
C23,173.1,-82.6,0.0,top
C24,128.805953,-117.003048,180.0,top
C25,107.5,-79.6,180.0,top
C26,130.0,-77.9,90.0,top
C27,120.2,-103.1,90.0,top
C28,130.2,-103.1,90.0,top
C29,113.4,-108.2,0.0,top
C3,160.3,-116.5,180.0,top
C30,113.4,-102.2,0.0,top
C31,123.4,-102.2,0.0,top
C32,123.4,-108.2,0.0,top
C33,119.7,-117.5,90.0,top
C34,118.6,-117.5,90.0,top
C35,117.5,-117.5,90.0,top
C36,121.9,-117.5,270.0,top
C37,123.0,-117.5,270.0,top
C38,124.1,-117.5,270.0,top
C39,125.2,-117.5,270.0,top
C4,121.6,-77.9,0.0,top
C40,170.7,-87.3,90.0,top
C41,174.3,-92.3,90.0,top
C42,167.7,-79.8,180.0,top
C43,172.5,-79.8,0.0,top
C44,165.1,-79.65,90.0,bottom
C45,154.9,-83.0,270.0,bottom
C46,134.6,-78.0,270.0,bottom
C47,149.6,-77.6,180.0,bottom
C48,156.0,-78.5,90.0,bottom
C49,157.7,-78.5,90.0,bottom
C5,161.0,-112.4,90.0,top
C50,131.6,-99.0,0.0,top
C51,128.6,-99.0,180.0,top
C52,159.5,-100.9,0.0,bottom
C53,159.5,-98.6,0.0,bottom
C54,159.5,-78.5,90.0,bottom
C55,167.7,-92.0,180.0,top
C56,167.7,-88.6,180.0,top
C57,165.1,-84.4,270.0,bottom
C6,130.6,-89.8,270.0,top
C62,157.8,-103.6,90.0,bottom
C63,156.0,-103.6,90.0,bottom
C64,138.0,-82.5,180.0,bottom
C65,138.0,-87.3,180.0,bottom
C66,138.0,-83.7,180.0,bottom
C67,138.0,-89.1,180.0,bottom
C68,138.0,-90.9,180.0,bottom
C69,138.0,-92.7,0.0,bottom
C7,122.1,-79.9,0.0,top
C78,158.3,-83.0,270.0,bottom
C79,161.7,-83.0,270.0,bottom
C8,115.9,-75.1,90.0,top
C80,139.0,-114.1,0.0,top
C81,170.7,-102.9,90.0,top
C82,174.3,-107.9,90.0,top
C83,167.7,-95.4,180.0,top
C84,149.8,-114.1,0.0,top
C85,166.0,-111.8,90.0,top
C86,163.8,-111.8,90.0,top
C87,173.1,-100.4,0.0,top
C9,119.3,-84.2,0.0,top
C90,167.7,-111.8,90.0,top
C91,173.1,-86.5,0.0,top
C92,173.1,-102.1,0.0,top
C93,172.5,-95.4,0.0,top
D1,140.4,-124.8,180.0,bottom
D10,148.1,-124.8,0.0,bottom
D11,171.4,-120.3,0.0,top
D12,168.0,-104.5,270.0,top
D2,123.9,-86.0,90.0,top
D3,159.5,-99.8,0.0,bottom
D5,134.2,-110.6,270.0,top
D6,133.6,-113.4,180.0,top
D8,145.0,-110.6,270.0,top
D9,144.4,-113.4,180.0,top
ENC1,140.0,-100.0,0.0,top
FB1,165.5,-83.1,270.0,top
G1,120.2,-112.2,0.0,top
H1,110.1,-75.0,0.0,top
H2,110.1,-125.0,0.0,top
H3,170.1,-125.0,0.0,top
H4,170.1,-75.0,0.0,top
J1,107.7,-116.0,270.0,top
J10,163.0,-130.2,0.0,top
J2,135.0,-130.2,0.0,top
J3,142.0,-130.2,0.0,top
J4,160.4,-67.5,90.0,top
J5,119.6,-67.5,90.0,top
J6,149.0,-130.2,0.0,top
J7,121.3,-124.7225,180.0,top
J8,156.0,-130.2,0.0,top
J9,130.5,-69.7,90.0,top
K1,135.9,-120.6,270.0,top
K2,146.7,-120.6,270.0,top
L1,117.0,-75.1,90.0,top
L2,119.6,-73.4,270.0,top
L4,165.1,-116.2,180.0,top
L5,168.7,-83.9,90.0,top
L6,168.7,-99.5,90.0,top
LP1,140.0,-78.0,0.0,bottom
LP2,147.0,-78.0,0.0,bottom
LP3,133.0,-78.0,0.0,bottom
Q1,154.2,-123.9,90.0,top
Q11,165.0,-123.9,90.0,top
Q12,161.4,-123.9,90.0,top
Q13,154.2,-118.3,90.0,top
Q14,149.8,-110.9,270.0,top
Q15,139.0,-110.9,270.0,top
Q16,157.2,-110.9,270.0,top
Q17,153.5,-110.9,270.0,top
Q18,162.3,-102.2,180.0,bottom
Q2,157.8,-123.9,90.0,top
Q7,162.3,-97.4,180.0,bottom
Q8,162.3,-92.5,180.0,bottom
R10,112.6,-115.2,0.0,top
R11,112.6,-116.4,0.0,top
R12,117.8,-85.8,270.0,top
R13,118.9,-85.8,270.0,top
R15,114.5,-85.8,270.0,top
R16,115.6,-85.8,270.0,top
R17,116.7,-85.8,270.0,top
R18,123.4,-77.9,270.0,top
R2,173.5,-113.0,0.0,top
R20,161.5,-99.8,180.0,bottom
R21,107.5,-80.7,0.0,top
R22,128.9,-77.9,270.0,top
R25,173.5,-111.8,180.0,top
R26,156.6,-119.2,90.0,top
R27,155.3,-121.2,0.0,top
R28,161.4,-121.2,0.0,top
R29,116.3,-117.5,90.0,top
R3,125.3,-91.4,0.0,top
R30,165.4,-121.2,180.0,top
R31,107.5,-81.8,180.0,top
R33,163.4,-94.9,180.0,bottom
R34,163.4,-90.1,180.0,bottom
R35,161.5,-94.9,0.0,bottom
R36,161.5,-90.1,0.0,bottom
R37,170.3,-104.5,0.0,top
R38,157.2,-113.6,0.0,top
R39,170.3,-105.7,180.0,top
R4,129.2,-91.4,0.0,top
R40,153.5,-113.6,0.0,top
R42,107.5,-82.9,180.0,top
R43,107.5,-84.0,180.0,top
R44,128.805953,-115.803048,180.0,top
R45,137.6,-85.5,90.0,bottom
R46,160.4,-73.4,90.0,top
R47,163.4,-99.8,180.0,bottom
R48,153.3,-121.2,0.0,top
R49,128.805953,-114.603048,180.0,top
R5,123.9,-88.0,270.0,top
R50,128.005953,-118.703048,0.0,top
R51,136.4,-83.3,90.0,bottom
